USERID,COMP_Uber,COMP_Lyft,ATTENTION,WKYEARS,COVID,STARTTIME.YN,STARTTIME,STOPTIME.YN,STOPTIME,WKHOURS.YN,WKHOURS,TGINCOME.YN,TGINCOME,WEEK.TRIPS,WEEK.TRIPS.RJ,RESP.1,RESP.1.SURGE,RESP.1.WTTIME,RESP.1.RLTIME,RESP.1.LTRIP,RESP.1.PR,RESP.1.SHARED,RESP.2,RESP.2.SURGE,RESP.2.WTTIME,RESP.2.RLTIME,RESP.2.LTRIP,RESP.2.PR,RESP.2.SHARED,RESP.3,RESP.3.SURGE,RESP.3.WTTIME,RESP.3.RLTIME,RESP.3.LTRIP,RESP.3.PR,RESP.3.SHARED,RESP.4,RESP.4.SURGE,RESP.4.WTTIME,RESP.4.RLTIME,RESP.4.LTRIP,RESP.4.PR,RESP.4.SHARED,RESP.5,RESP.5.SURGE,RESP.5.WTTIME,RESP.5.RLTIME,RESP.5.LTRIP,RESP.5.PR,RESP.5.SHARED,RESP.6,RESP.6.SURGE,RESP.6.WTTIME,RESP.6.RLTIME,RESP.6.LTRIP,RESP.6.PR,RESP.6.SHARED,WT.1,RL.1,WTRL.1.INCOME,WTRL.1.HOURS,WTRL.1.SURGE.N3,WTRL.1.WTTIME.N3,WTRL.1.SURGE.N1,WTRL.1.SURGE.N2,WTRL.1.SURGE.N4,WTRL.1.SURGE.N5,WTRL.1.WTTIME.N1,WTRL.1.WTTIME.N2,WTRL.1.WTTIME.N4,WTRL.1.WTTIME.N5,WTRL.1.RTTIME.N1,WTRL.1.RTTIME.N2,WTRL.1.RTTIME.N4,WTRL.1.RTTIME.N5,WT.2,RL.2,WTRL.2.INCOME,WTRL.2.HOURS,WTRL.2.SURGE.N3,WTRL.2.WTTIME.N3,WTRL.2.SURGE.N1,WTRL.2.SURGE.N2,WTRL.2.SURGE.N4,WTRL.2.SURGE.N5,WTRL.2.WTTIME.N1,WTRL.2.WTTIME.N2,WTRL.2.WTTIME.N4,WTRL.2.WTTIME.N5,WTRL.2.RTTIME.N1,WTRL.2.RTTIME.N2,WTRL.2.RTTIME.N4,WTRL.2.RTTIME.N5,WT.3,RL.3,WTRL.3.INCOME,WTRL.3.HOURS,WTRL.3.SURGE.N3,WTRL.3.WTTIME.N3,WTRL.3.SURGE.N1,WTRL.3.SURGE.N2,WTRL.3.SURGE.N4,WTRL.3.SURGE.N5,WTRL.3.WTTIME.N1,WTRL.3.WTTIME.N2,WTRL.3.WTTIME.N4,WTRL.3.WTTIME.N5,WTRL.3.RTTIME.N1,WTRL.3.RTTIME.N2,WTRL.3.RTTIME.N4,WTRL.3.RTTIME.N5,WT.4,RL.4,WTRL.4.INCOME,WTRL.4.HOURS,WTRL.4.SURGE.N3,WTRL.4.WTTIME.N3,WTRL.4.SURGE.N1,WTRL.4.SURGE.N2,WTRL.4.SURGE.N4,WTRL.4.SURGE.N5,WTRL.4.WTTIME.N1,WTRL.4.WTTIME.N2,WTRL.4.WTTIME.N4,WTRL.4.WTTIME.N5,WTRL.4.RTTIME.N1,WTRL.4.RTTIME.N2,WTRL.4.RTTIME.N4,WTRL.4.RTTIME.N5,WT.5,RL.5,WTRL.5.INCOME,WTRL.5.HOURS,WTRL.5.SURGE.N3,WTRL.5.WTTIME.N3,WTRL.5.SURGE.N1,WTRL.5.SURGE.N2,WTRL.5.SURGE.N4,WTRL.5.SURGE.N5,WTRL.5.WTTIME.N1,WTRL.5.WTTIME.N2,WTRL.5.WTTIME.N4,WTRL.5.WTTIME.N5,WTRL.5.RTTIME.N1,WTRL.5.RTTIME.N2,WTRL.5.RTTIME.N4,WTRL.5.RTTIME.N5,WT.6,RL.6,WTRL.6.INCOME,WTRL.6.HOURS,WTRL.6.SURGE.N3,WTRL.6.WTTIME.N3,WTRL.6.SURGE.N1,WTRL.6.SURGE.N2,WTRL.6.SURGE.N4,WTRL.6.SURGE.N5,WTRL.6.WTTIME.N1,WTRL.6.WTTIME.N2,WTRL.6.WTTIME.N4,WTRL.6.WTTIME.N5,WTRL.6.RTTIME.N1,WTRL.6.RTTIME.N2,WTRL.6.RTTIME.N4,WTRL.6.RTTIME.N5,AGE,GENDER,HISPANIC,RACE,IMMG,EDU,STDT,EMPL,EMPL.ANOTHER,ZIPCODE,HHSIZE,CHILD,HHINCOME,INDVINCOME,HEALTH,SOURCE,COMMENTS
ULCFRVZCMoKJNOjJnmLp,1,1,N4,4,1,0,0,0,0,0,,0,,34,8,0,0,0,4,0,4.1,0,0,0,24,20,0,4.7,0,1,0,8,4,1,4.9,0,0,0,0,20,1,4.1,1,0,8,0,12,1,4.3,1,1,12,0,4,1,4.5,1,1,5,130,3.2,0,0,4,4,0,12,0,0,0,0,30,8,8,8,0,,40,12.8,12,0,16,0,0,0,0,8,16,16,4,30,30,16,0,,40,10.4,0,16,4,0,0,12,0,24,16,0,4,12,16,12,0,,160,10.4,0,24,0,0,16,0,8,16,0,8,12,12,8,4,1,5,130,3.2,0,8,0,0,0,16,24,8,30,0,4,8,4,12,0,,70,10.4,12,0,12,12,8,0,0,0,0,30,8,16,30,16,39,0,0,1,0,5,0,3,,98026,2,0,9,9,3,1,"One of the factors influencing the decision of whether to accept a trip is whether it starts/ends in Seattle City Limits or elsewhere as there are three different rate structures in this area. City of Seattle, City of Tacoma, and Other. ."
w1DFI7X1oKWNlK6stAMy,,1,N4,2,1,1,5,1,8.5,1,4,0,,30,4,0,0,24,16,0,4.7,0,0,4,0,20,0,4.7,0,1,16,0,4,1,4.3,1,0,4,0,16,1,4.3,1,1,4,0,4,0,4.7,1,1,16,0,8,0,4.9,1,0,,70,6.4,0,8,0,0,8,0,16,30,0,8,16,30,8,30,0,,130,1.6,8,0,0,0,8,8,24,8,0,0,30,30,4,30,0,,100,2.8,0,24,0,12,16,0,0,0,0,30,12,8,8,30,1,2,70,1.6,0,0,0,16,12,16,8,0,0,0,4,8,30,12,1,4,160,1.6,0,0,8,0,4,0,0,24,0,8,30,30,4,4,0,,160,2.8,16,0,0,0,16,8,24,8,0,0,4,12,30,12,78,0,0,1,0,2,0,3,Retired,98133,2,0,7,6,3,1,
hiMPFK1qvuhTiabg91h8,,1,N4,4,1,1,14,1,23,1,9,1,300,95,5,0,0,24,12,0,4.1,0,0,4,0,12,1,4.7,0,0,8,0,20,1,4.1,1,0,0,24,12,1,4.3,1,1,8,0,4,0,4.3,1,0,12,0,20,1,4.5,1,1,5,390,6.3,0,30,4,0,0,12,0,30,30,0,12,12,30,16,1,3,120,6.3,16,0,0,8,0,12,24,0,30,0,12,8,8,8,0,,210,9,0,16,8,0,0,12,0,8,30,0,12,12,12,30,0,,210,11.7,0,30,0,8,4,0,8,0,0,0,12,30,12,4,1,3,480,9,12,0,0,8,0,0,16,0,24,0,8,12,4,4,0,,390,14.4,0,24,0,16,16,16,0,0,0,0,12,8,16,4,53,0,0,1,0,3,0,2,,98133,1,0,6,6,1,1,When and where can I see a report of the study?
Gx71hWi7gReGMyoWkcmA,1,1,N4,4,2,0,0,0,0,0,,1,100,20,2,1,0,30,12,0,4.5,0,1,16,0,12,1,4.7,0,1,12,0,12,1,4.3,1,1,8,0,8,1,4.7,1,1,4,0,20,1,4.7,1,1,8,0,16,1,4.9,1,0,,100,12.8,0,0,12,8,0,0,0,0,24,30,8,12,16,8,0,,160,10.4,0,30,0,0,12,0,0,30,0,0,12,30,12,8,1,1,40,8,8,0,12,12,0,0,0,0,30,24,8,12,4,8,0,,70,10.4,16,0,16,0,0,8,0,0,8,0,4,30,4,12,1,3,40,3.2,0,8,8,4,0,12,0,0,16,0,12,12,8,30,1,3,70,8,4,0,0,0,16,16,0,8,0,0,30,16,8,16,45,0,0,1,0,6,1,1,,98125,4,2,7,6,2,1,
eYnFywzRqG7W6yKhD7bl,1,1,N4,4,1,0,0,0,0,1,4,1,150,40,3,1,8,0,16,0,4.1,0,1,0,0,16,1,4.5,0,0,0,30,16,0,4.1,1,0,8,0,20,0,4.3,1,1,12,0,8,1,4.5,1,1,0,24,20,1,4.7,1,0,,105,5.2,0,24,0,0,0,0,0,30,16,0,8,16,4,4,0,,150,5.2,8,0,0,0,0,4,16,24,0,0,16,4,12,30,0,,195,4,4,0,0,8,0,12,30,0,8,0,12,8,30,8,1,1,240,4,4,0,16,0,0,0,0,30,24,24,4,30,12,8,0,,105,6.4,16,0,0,0,8,8,16,30,0,0,16,16,8,30,1,3,60,5.2,16,0,4,16,12,0,0,0,0,16,12,12,16,30,56,0,0,1,0,5,0,3,,98119,1,0,8,8,1,2,"I went with info provided, but additionally day of week is good to know, current traffic conditions, fuel level in car are also factors to continue driving and accepting trips."
k6xSMOl0qOygW98phrAv,,,N4,4,1,0,0,0,0,0,,0,,239,0,1,8,0,4,1,4.9,0,1,0,24,12,1,4.1,1,1,0,8,12,1,4.3,1,1,16,0,20,0,4.5,1,1,8,0,20,0,4.5,1,1,0,24,12,0,4.9,1,1,3,130,3.2,0,0,4,4,0,12,0,0,0,0,30,8,8,8,0,,40,12.8,12,0,16,0,0,0,0,8,16,16,4,30,30,16,0,,40,10.4,0,16,4,0,0,12,0,24,16,0,4,12,16,12,1,3,100,8,16,0,12,4,12,0,0,0,0,0,8,8,12,4,0,,130,12.8,0,8,12,0,0,16,0,30,16,0,4,8,30,8,0,,100,10.4,0,8,0,0,8,12,24,24,0,0,30,12,30,16,52,0,0,1,1,6,0,3,,98040,4,1,11,7,1,2,"Choice scenarios were extremely unrealistic, so choices made would be of limited behavioral analysis value. Movement choices also imply that zones are blocks or regions, as opposed to being continuous. You can decide to move towards a zone and you will still be available for trips in your current zone until you reach the next zone. There really aren't zones, but hot spots that flare up. Additionally, travel times and wait times are unknown, so decision making process is not this simplistic.  I worked during the pandemic but for extremely reduced hours."
Us531E70BlR43tF2TH9p,1,1,N4,4,1,0,0,0,0,0,,0,,55,5,0,8,0,20,1,4.1,0,0,16,0,20,0,4.1,0,0,0,8,12,1,4.3,0,0,0,30,12,0,4.3,0,1,12,0,8,1,4.5,0,0,0,30,12,1,4.5,1,0,,160,3.2,0,30,8,0,0,0,0,16,8,24,4,30,12,4,1,4,130,3.2,4,0,8,0,0,0,0,24,16,8,30,12,12,4,0,,40,10.4,0,8,0,4,0,0,24,0,16,0,16,12,16,16,1,3,100,10.4,12,0,0,4,0,0,24,0,0,0,30,8,16,8,1,2,100,3.2,0,8,0,12,0,0,0,0,8,8,16,12,4,30,0,,130,10.4,0,24,8,0,0,0,0,30,30,16,12,4,12,16,22,2,2,7,2,5,0,1,,98108,2,0,2,2,2,2,
ZH7sKlI505Jpa4GEYhyd,1,,N4,4,1,0,0,0,0,1,At least 5,1,100,42,0,1,8,0,16,1,4.1,0,1,0,30,16,1,4.1,0,1,0,16,12,0,4.7,0,1,0,8,4,1,4.1,1,1,0,24,16,1,4.9,1,1,0,8,8,0,4.9,1,1,1,130,0,16,0,0,16,0,0,8,0,0,0,16,8,8,4,1,2,70,0,0,30,0,8,4,0,30,0,0,0,16,12,30,8,1,4,40,0,0,16,16,8,12,12,0,0,0,0,16,8,4,8,1,5,40,0,0,24,8,0,0,16,0,0,30,0,8,30,4,8,1,3,40,0,8,0,12,8,0,0,0,0,0,0,30,12,12,8,1,5,70,0,12,0,0,4,0,12,16,0,0,0,12,8,8,4,63,1,0,1,0,3,0,2,Delivery for Roadie,98405,1,0,6,5,3,2,"2 questions did not allow me to select an option.And how do you work 0 hours and nights and earn $130, $70, or $40?"
HTikYijS75cj33OfOr9q,,1,N4,4,0,0,0,0,0,1,3,0,,0,0,1,8,0,16,1,4.1,0,1,0,30,16,1,4.1,0,1,0,16,12,0,4.7,0,1,0,8,4,1,4.1,1,1,0,24,16,1,4.9,1,1,0,8,8,0,4.9,1,1,3,130,2.1,16,0,0,16,0,0,8,0,0,0,16,8,8,4,0,,70,3,0,30,0,8,4,0,30,0,0,0,16,12,30,8,1,1,40,2.1,0,16,16,8,12,12,0,0,0,0,16,8,4,8,0,,40,3,0,24,8,0,0,16,0,0,30,0,8,30,4,8,1,1,40,2.1,8,0,12,8,0,0,0,0,0,0,30,12,12,8,1,3,70,2.1,12,0,0,4,0,12,16,0,0,0,12,8,8,4,69,0,0,1,0,3,0,1,,98146,3,0,7,7,2,2,"Way longer than 10 minutes. If someone isn't a native English speaker or can't grasp the chart concept, they can't participate and you're not getting a representative sample. I suppose that you already realize that this is so skewed that your results are not only incomplete in gauging the choices and experience of the vast majority of drivers, but those few who finish are not happy participants. Is this a mental capacity test of ride-share drivers disguised as a survey? That seems to be the best application of your data. Just some constructive input. Was it helpful?"
5ndBdyhFDbRKgEB7gkFF,1,1,N4,0,1,0,0,0,0,1,12,1,200,60,0,1,16,0,12,1,4.1,0,1,4,0,20,1,4.3,0,1,0,16,8,1,4.5,0,0,0,8,20,0,4.9,0,0,0,8,8,0,4.3,1,1,8,0,8,1,4.9,1,0,,140,15.6,0,24,0,0,0,0,0,30,16,0,8,16,4,4,0,,200,15.6,8,0,0,0,0,4,16,24,0,0,16,4,12,30,1,5,260,12,4,0,0,8,0,12,30,0,8,0,12,8,30,8,1,1,320,12,4,0,16,0,0,0,0,30,24,24,4,30,12,8,0,,140,19.2,16,0,0,0,8,8,16,30,0,0,16,16,8,30,0,,80,15.6,16,0,4,16,12,0,0,0,0,16,12,12,16,30,41,0,0,4,1,3,0,3,Was activated in national guard from April 2020 to may 2021,98059,4,2,9,6,1,2,We can’t be online for more than continuous 12. Since I drive both I can do more than 12. I just won’t go more than what my body can do plus I have a family 
